Time Step,A,B,C
1,5.00E-01,5.00E-01,5.00E-01
2,4.99E-01,4.79E-01,4.83E-01
3,4.41E-01,4.53E-01,4.78E-01
4,4.72E-01,4.43E-01,4.68E-01
5,4.50E-01,3.99E-01,4.36E-01
6,4.51E-01,4.29E-01,4.47E-01
7,4.82E-01,4.44E-01,4.26E-01
8,4.63E-01,4.16E-01,4.34E-01
9,4.94E-01,4.10E-01,4.19E-01
10,4.38E-01,4.32E-01,4.01E-01
11,4.80E-01,4.19E-01,4.21E-01
12,4.77E-01,4.36E-01,4.35E-01
13,4.65E-01,4.68E-01,4.42E-01
14,4.85E-01,4.67E-01,4.71E-01
15,4.34E-01,4.70E-01,4.79E-01
16,4.22E-01,4.89E-01,4.86E-01
17,3.74E-01,5.00E-01,4.61E-01
18,4.02E-01,4.82E-01,4.89E-01
19,3.97E-01,4.42E-01,4.74E-01
20,3.97E-01,4.36E-01,4.89E-01
21,4.53E-01,4.61E-01,4.51E-01
22,4.60E-01,4.71E-01,4.35E-01
23,4.59E-01,4.15E-01,4.51E-01
24,4.87E-01,3.87E-01,4.59E-01
25,4.78E-01,3.52E-01,4.99E-01
26,4.76E-01,3.75E-01,4.92E-01
27,4.32E-01,4.01E-01,4.60E-01
28,4.84E-01,4.05E-01,4.74E-01
29,4.78E-01,3.90E-01,4.51E-01
30,4.87E-01,3.48E-01,4.30E-01
31,4.57E-01,3.22E-01,4.64E-01
32,4.97E-01,3.75E-01,4.55E-01
33,4.92E-01,3.31E-01,4.55E-01
34,4.65E-01,2.85E-01,4.70E-01
35,4.93E-01,2.36E-01,4.93E-01
36,4.79E-01,1.87E-01,4.61E-01
37,4.67E-01,1.80E-01,4.65E-01
38,4.63E-01,1.72E-01,4.68E-01
39,4.26E-01,1.62E-01,4.29E-01
40,4.32E-01,2.15E-01,4.22E-01
41,3.86E-01,1.90E-01,4.13E-01
42,4.18E-01,1.71E-01,3.92E-01
43,4.25E-01,1.67E-01,3.64E-01
44,4.04E-01,1.28E-01,3.44E-01
45,4.06E-01,1.54E-01,3.31E-01
46,4.40E-01,1.88E-01,3.46E-01
47,4.70E-01,2.22E-01,3.18E-01
48,4.77E-01,1.98E-01,3.18E-01
49,4.33E-01,1.74E-01,3.03E-01
50,4.15E-01,1.70E-01,3.18E-01
51,3.77E-01,1.38E-01,3.29E-01
52,3.29E-01,1.13E-01,3.07E-01
53,2.92E-01,1.21E-01,2.84E-01
54,2.40E-01,1.47E-01,2.49E-01
